"","participant","DO_down","DO_up","MI_down","MI_up","SOL_down","SOL_up"
"1","aes01",0.489583333333333,0.908333333333333,0.577083333333333,0.6625,0.491666666666667,0.514583333333333
"2","aes02",0.660416666666667,0.735416666666667,0.616666666666667,0.697916666666667,0.645833333333333,0.491666666666667
"3","aes03",0.69375,0.889583333333333,0.789583333333333,0.8875,0.847916666666667,0.816666666666667
"4","aes04",0.775,0.797916666666667,0.7625,0.79375,0.73125,0.6625
"5","aes05",0.441666666666667,0.5625,0.647916666666667,0.552083333333333,0.727083333333333,0.479166666666667
"6","aes06",0.43125,0.466666666666667,0.345833333333333,0.441666666666667,0.335416666666667,0.35
"7","aes07",0.611904761904762,0.954166666666667,0.722916666666667,1.08666666666667,0.733333333333333,0.819047619047619
"8","aes08",0.454166666666667,0.420833333333333,0.452380952380952,0.441666666666667,0.454166666666667,0.520833333333333
"9","aes09",0.53125,1.66666666666667,0.788095238095238,1.14666666666667,1.00833333333333,0.454166666666667
"10","aes10",0.560416666666667,0.6625,0.522916666666667,0.791666666666667,0.602083333333333,0.685416666666667
"11","aes11",0.614583333333333,0.729166666666667,0.591666666666667,0.777083333333333,0.54375,0.689583333333333
"12","aes12",1.25714285714286,1.50555555555556,1.17291666666667,1.55,1.30333333333333,1.08125
"13","aes13",0.985416666666667,NA,1.05833333333333,1.23888888888889,1.30833333333333,1.01666666666667
"14","aes14",0.452083333333333,0.616666666666667,0.55625,0.597916666666667,0.464583333333333,0.39375
"15","aes15",1.74583333333333,1.56666666666667,1.69791666666667,1.75952380952381,1.55416666666667,1.625
"16","aes16",0.41875,0.475,0.425,0.4125,0.395833333333333,0.354166666666667
"17","aes17",0.404166666666667,0.395833333333333,0.339583333333333,0.369047619047619,0.360416666666667,0.325
"18","aes18",0.425,0.671428571428571,0.458333333333333,0.533333333333333,0.435416666666667,0.48125
"19","aes19",0.552083333333333,0.920833333333333,0.583333333333333,0.666666666666667,0.585416666666667,0.489583333333333
"20","aes20",0.535416666666667,0.7625,0.572916666666667,0.7375,0.61875,0.477083333333333
"21","aes21",0.5875,0.922916666666667,0.702083333333333,1.06666666666667,0.55,1.01875
"22","aes22",0.58125,0.620833333333333,0.552083333333333,0.63125,0.566666666666667,0.595833333333333
"23","aes23",0.404166666666667,0.460416666666667,0.422916666666667,0.5,0.48125,0.385416666666667
"24","aes24",0.783333333333333,0.777777777777778,0.883333333333333,0.827777777777778,1.22777777777778,0.6625
"25","aes25",0.495833333333333,0.54375,0.520833333333333,0.560416666666667,0.55625,0.464583333333333
"26","aes26",0.489583333333333,0.69375,0.65625,0.702083333333333,0.48125,0.529166666666667
"27","aes27",1.26875,1.48958333333333,1.30952380952381,1.16,1.34722222222222,1.18541666666667
"28","aes28",0.4125,0.495833333333333,0.366666666666667,0.427083333333333,0.522916666666667,0.377083333333333
"29","aes29",0.460416666666667,0.995238095238095,0.720833333333333,0.652083333333333,0.81875,0.516666666666667
"30","aes30",0.3,0.422916666666667,0.344444444444444,0.289583333333333,0.313888888888889,0.296666666666667
"31","aes31",0.595833333333333,0.747916666666667,0.5375,0.654166666666667,0.529166666666667,0.539583333333333
"32","aes32",0.776190476190476,0.91875,0.833333333333333,1.25208333333333,1.14375,0.870833333333333
"33","ams01",0.452083333333333,0.906666666666667,0.629166666666667,0.683333333333333,0.633333333333333,0.591666666666667
"34","ams02",0.952083333333333,1.33571428571429,1.02222222222222,1.65,1.50277777777778,1.23333333333333
"35","ams03",0.470833333333333,0.64375,0.533333333333333,0.564285714285714,0.4125,0.44375
"36","ams04",0.489583333333333,0.560416666666667,0.554166666666667,0.572916666666667,0.56875,0.495833333333333
"37","ams05",1.34285714285714,1.31111111111111,1.55,1.38333333333333,1.57777777777778,1.1625
"38","ams06",0.520833333333333,1.0875,0.772222222222222,0.84047619047619,0.707142857142857,0.63125
"39","ams07",0.527083333333333,0.70625,0.429166666666667,0.610416666666667,0.439583333333333,0.508333333333333
"40","ams08",0.833333333333333,0.946666666666667,1.275,0.769444444444444,0.7625,0.91875
"41","ams09",1.14047619047619,1.67619047619048,1.39666666666667,1.47619047619048,1.30238095238095,1.16666666666667
"42","ams10",0.8,1.11875,0.858333333333333,0.820833333333333,0.879166666666667,0.935416666666667
"43","ams11",1.08958333333333,1.14,1.35416666666667,0.986666666666667,1.34761904761905,1.00416666666667
"44","ams12",0.56875,0.922222222222222,0.81875,0.686111111111111,0.713333333333333,0.65625
"45","ams13",0.391666666666667,0.542857142857143,0.439583333333333,0.466666666666667,0.389583333333333,0.389583333333333
"46","ams14",0.614583333333333,0.68125,0.747619047619048,0.652083333333333,0.538095238095238,0.55625
"47","ams15",0.560416666666667,0.866666666666667,0.614285714285714,0.777777777777778,0.680952380952381,0.735416666666667
"48","ams16",0.4375,1.14166666666667,0.552083333333333,0.770833333333333,0.533333333333333,0.427083333333333
"49","ams17",0.40625,0.391666666666667,0.422916666666667,0.425,0.3875,0.395833333333333
"50","ams18",0.633333333333333,0.823809523809524,0.80952380952381,0.908333333333333,0.919444444444444,0.572916666666667
"51","ams19",0.60625,1.38666666666667,0.852380952380952,1.03611111111111,0.858333333333333,0.8125
"52","ams20",0.808333333333333,1.15625,1.06041666666667,1.09791666666667,0.720833333333333,0.96875
"53","ams21",0.48125,0.702083333333333,0.645833333333333,0.610416666666667,0.730952380952381,0.5875
"54","ams22",0.36875,0.583333333333333,0.40952380952381,0.725,0.528571428571429,0.38125
"55","ams23",0.722916666666667,0.7375,0.729166666666667,0.541666666666667,0.63125,0.479166666666667
"56","ams24",0.716666666666667,0.802083333333333,0.708333333333333,0.685416666666667,0.911111111111111,0.6125
"57","ams25",0.45,0.669444444444445,0.64375,0.623809523809524,0.520833333333333,0.525
"58","ams26",0.85625,0.814583333333333,0.864583333333333,0.791666666666667,0.929166666666667,0.677083333333333
"59","ams27",0.45,0.736111111111111,0.6,0.558333333333333,0.595238095238095,0.55
"60","ams28",0.89375,1.31666666666667,1.02291666666667,1.32083333333333,1.03125,0.920833333333333
"61","ams29",0.470833333333333,0.65952380952381,0.511111111111111,0.641666666666667,0.626190476190476,0.445833333333333
"62","ams30",0.90625,1.29166666666667,1.125,1.08333333333333,1.22083333333333,0.854166666666667
"63","ams31",0.99375,1.4,1.16190476190476,1.05555555555556,1.63095238095238,1.0375
"64","ams32",0.954166666666667,1.33571428571429,1.2,1.51111111111111,1.31904761904762,1.2125
"65","ies01",0.4,0.485416666666667,0.416666666666667,0.485416666666667,0.45,0.439583333333333
"66","ies02",0.745238095238095,0.25,0.404166666666667,0.458333333333333,0.5,0.673333333333333
"67","ies03",0.4375,0.447916666666667,0.427083333333333,0.485416666666667,0.447916666666667,0.416666666666667
"68","ies04",0.845833333333333,0.902083333333333,0.833333333333333,0.820833333333333,0.94375,0.747916666666667
"69","ies05",0.389583333333333,0.5875,0.410416666666667,0.676666666666667,0.439583333333333,0.4125
"70","ies06",0.364583333333333,0.44375,0.414583333333333,0.477083333333333,0.425,0.43125
"71","ies07",0.5,0.811111111111111,0.535416666666667,0.680952380952381,0.503333333333333,0.533333333333333
"72","ies08",0.483333333333333,0.844444444444444,0.73125,0.721428571428571,0.9,0.439583333333333
"73","ies09",0.427083333333333,0.741666666666667,0.489583333333333,0.64375,0.4875,0.525
"74","ies10",0.654166666666667,1.06666666666667,0.702083333333333,0.857142857142857,0.99375,0.697916666666667
"75","ies11",0.525,0.41875,0.5125,0.464583333333333,0.570833333333333,0.39375
"76","ies12",0.641666666666667,0.8375,0.777083333333333,0.829166666666667,0.78125,0.7875
"77","ies13",0.6375,0.855555555555556,0.777083333333333,0.680952380952381,0.81875,0.485416666666667
"78","ies14",0.785416666666667,1.0625,1.06041666666667,1.17291666666667,1.08333333333333,0.85625
"79","ies15",0.689583333333333,0.939583333333333,0.6625,1.21666666666667,0.760416666666667,0.939583333333333
"80","ies16",0.675,1.56944444444444,0.986666666666667,0.972222222222222,1.2,0.791666666666667
"81","ies17",0.654166666666667,1.16041666666667,0.6125,1.07142857142857,1.07619047619048,0.723809523809524
"82","ies18",0.560416666666667,0.6625,0.65625,0.610416666666667,0.55,0.729166666666667
"83","ies19",0.4,0.55952380952381,0.4,0.614583333333333,0.395833333333333,0.39375
"84","ies20",0.814583333333333,1.30416666666667,1.07708333333333,0.883333333333333,0.858333333333333,0.779166666666667
"85","ies21",0.46875,0.7625,0.477083333333333,0.623809523809524,0.5625,0.425
"86","ies22",0.791666666666667,1.12291666666667,0.854166666666667,1.05833333333333,1.1047619047619,0.795833333333333
"87","ies23",0.458333333333333,0.59375,0.422916666666667,0.754166666666667,0.521428571428571,0.427083333333333
"88","ies24",1.18958333333333,2.25,1.3625,1.25666666666667,1.45,1.31666666666667
"89","ies25",0.36875,0.497916666666667,0.485714285714286,0.49375,0.458333333333333,0.410416666666667
"90","ies26",0.502083333333333,0.902083333333333,0.4375,0.604166666666667,0.554166666666667,0.564583333333333
"91","ies27",0.489583333333333,0.754166666666667,0.547916666666667,0.660416666666667,0.560416666666667,0.458333333333333
"92","ies28",1.18333333333333,1.37291666666667,0.94375,1.29166666666667,1.11875,1.1375
"93","ies29",0.8,1.15952380952381,0.916666666666667,0.958333333333333,0.775,0.858333333333333
"94","ies30",0.495833333333333,0.722222222222222,0.510416666666667,0.46875,0.585416666666667,0.589583333333333
"95","ies31",0.797916666666667,0.975,0.633333333333333,0.858333333333333,0.692857142857143,0.689583333333333
"96","ies32",0.833333333333333,1.52916666666667,0.977083333333333,1.25,1.19285714285714,1.04047619047619
"97","ies33",0.416666666666667,0.588095238095238,0.541666666666667,0.502083333333333,0.520833333333333,0.385416666666667
"98","ims01",0.728571428571429,1.17857142857143,0.69375,0.952380952380952,1.12222222222222,0.8125
"99","ims02",1.0375,1.31,1.09523809542857,1.23055555566667,1.07777777783333,0.923809523714286
"100","ims03",0.433333333375,NA,0.700000000125,1.15,1.0366666666,0.3125
"101","ims04",0.472916666666667,0.4625,0.43125,0.480952380952381,0.383333333333333,0.379166666666667
"102","ims05",0.458333333333333,0.480952380952381,0.522916666666667,0.589583333333333,0.489583333333333,0.441666666666667
"103","ims06",0.847916666666667,1.13888888888889,0.85,1.09583333333333,1.29285714285714,0.5625
"104","ims07",0.902083333333333,1.31111111111111,1.12291666666667,1.3,1.14047619047619,0.9375
"105","ims08",1.4952380952381,1.5375,1.5452380952381,1.6,1.475,1.17142857142857
"106","ims09",0.608333333333333,0.742857142857143,0.5625,0.733333333333333,0.564583333333333,0.489583333333333
"107","ims10",0.766666666666667,0.966666666666667,0.830952380952381,1.1,0.85952380952381,0.641666666666667
"108","ims11",0.872916666666667,1.15277777777778,1.02083333333333,1.29583333333333,1.13095238095238,0.710416666666667
"109","ims12",0.98125,1.48333333333333,1.2125,1.36666666666667,1.47777777777778,1.15952380952381
"110","ims13",1.02222222222222,1.16111111111111,1.81388888888889,1.75,1.44,0.964285714285714
"111","ims14",0.835416666666667,1.42291666666667,0.885416666666667,0.795833333333333,0.902083333333333,0.635416666666667
"112","ims15",0.797916666666667,1.12083333333333,0.9,1.63333333333333,1.42777777777778,0.68125
"113","ims16",0.622916666666667,0.758333333333333,0.566666666666667,0.716666666666667,0.604166666666667,0.4625
"114","ims17",0.8625,1.21875,1.23095238095238,1.11041666666667,0.966666666666667,0.877083333333333
"115","ims18",1.04375,0.921428571428571,1.01111111111111,0.738095238095238,0.588888888888889,0.960416666666667
"116","ims19",0.578571428571429,0.828571428571429,0.702083333333333,0.747916666666667,0.85,0.477083333333333
"117","ims20",0.875,1.51428571428571,1.18,1.28333333333333,1.43333333333333,0.810416666666667
"118","ims21",0.477083333333333,0.729166666666667,0.564285714285714,0.635416666666667,0.697619047619048,0.604166666666667
"119","ims22",0.722916666666667,0.972222222222222,0.664285714285714,0.947222222222222,0.864285714285714,0.627083333333333
"120","ims23",0.424999999875,1.483333333,0.589583333375,0.863888889,0.799999999857143,0.545833333375
"121","ims24",0.985714285714286,NA,1.20208333333333,NA,0.98,1.18095238095238
"122","ims25",0.545833333333333,1.01666666666667,0.647619047619048,0.90625,0.547916666666667,0.727083333333333
"123","ims26",0.791666666666667,1.09,0.861904761904762,1.22857142857143,1.525,0.9
"124","ims27",1.14583333333333,1.33958333333333,1.28541666666667,1.40208333333333,1.3125,1.41458333333333
"125","ims28",0.860416666666667,1.375,1.04791666666667,0.954166666666667,1.2875,1.24375
"126","ims29",0.620833333333333,1.19761904761905,0.59375,0.786111111111111,0.910416666666667,0.652083333333333
"127","ims30",0.741666666666667,0.84,0.871428571428571,1.00238095238095,0.880555555555556,0.73125
"128","ims31",0.558333333333333,1.375,0.810416666666667,1.11666666666667,1.00277777777778,0.658333333333333
"129","ims32",0.710416666666667,1.35277777777778,0.869444444444444,1.01904761904762,1.16458333333333,0.983333333333333
"130","mon01",1.06458333333333,1.2,1.25714285714286,1.18125,1.28095238095238,1.23958333333333
"131","mon02",0.564583333333333,1.175,0.697916666666667,0.816666666666667,0.666666666666667,0.5625
"132","mon03",0.525,1.01666666666667,0.602083333333333,0.816666666666667,0.688888888888889,0.579166666666667
"133","mon04",0.65625,0.983333333333333,0.85952380952381,0.694444444444444,0.85625,0.647916666666667
"134","mon05",NA,0.69375,1,0.716666666666667,0.693333333333333,NA
"135","mon06",0.266666666666667,0.5,0.266666666666667,0.333333333333333,0.329166666666667,0.227083333333333
"136","mon07",0.6875,1.17916666666667,0.9125,0.921428571428571,0.702380952380952,0.602083333333333
"137","mon08",0.547619047619048,0.783333333333333,0.60625,0.533333333333333,0.619444444444444,0.41875
"138","mon09",0.772916666666667,0.94375,0.775,1.01458333333333,0.814583333333333,0.635416666666667
"139","mon10",0.54375,1.31666666666667,0.970833333333333,1.21904761904762,0.970833333333333,0.73125
"140","mon11",0.5625,0.741666666666667,0.5625,0.711904761904762,0.645833333333333,0.641666666666667
"141","mon12",0.98125,NA,1.2875,1.20555555555556,1.03333333333333,0.929166666666667
"142","mon13",0.552083333333333,1.45,0.83125,0.916666666666667,1.01666666666667,0.725
"143","mon14",0.5875,0.708333333333333,0.820833333333333,0.747916666666667,0.702083333333333,0.620833333333333
"144","mon15",0.310416666666667,NA,0.177777777777778,0.229166666666667,0.241666666666667,0.264285714285714
"145","mon16",0.385416666666667,0.683333333333333,0.404166666666667,0.563888888888889,0.43125,0.51875
"146","mon17",0.510416666666667,0.488095238095238,0.529166666666667,0.471428571428571,0.464583333333333,0.4
"147","mon18",0.470833333333333,NA,0.583333333333333,0.873809523809524,0.744444444444444,0.36875
"148","mon19",0.495833333333333,NA,0.933333333333333,NA,0.552083333333333,NA
"149","mon20",1.1,NA,1.57708333333333,NA,1.35625,NA
"150","mon21",0.510416666666667,NA,0.55,NA,0.616666666666667,NA
"151","mon22",0.35,0.864285714285714,0.591666666666667,0.708333333333333,0.5,0.7375
"152","mon23",0.428571428571429,0.427777777777778,0.263888888888889,0.233333333333333,0.236111111111111,0.169444444444444
"153","mon24",0.63125,1.04166666666667,0.770833333333333,0.952380952380952,0.6,0.46875
"154","mon25",0.402083333333333,1.06666666666667,0.891666666666667,0.730952380952381,0.775,0.483333333333333
"155","mon26",1.01666666666667,1.425,1.10833333333333,1.21666666666667,1.45238095238095,0.672916666666667
"156","mon27",0.129166666666667,NA,0.136666666666667,0.108333333333333,NA,0.127083333333333
"157","mon28",0.70625,1.17777777777778,0.85,1.21111111111111,0.908333333333333,0.616666666666667
"158","mon29",0.285416666666667,0.408333333333333,0.452083333333333,0.397222222222222,0.430952380952381,0.386111111111111
"159","mon30",0.76875,1.15833333333333,1.06041666666667,1.23611111111111,1.15416666666667,0.827083333333333
