"","subject_id","spondee","stressed_spondee","trochee","unpredictable"
"1","ae01",0.0233333333333333,0.0133333333333333,0.0183333333333333,0.0958333333333333
"2","ae02",0.00999999999999999,-0.00500000000000001,NA,NA
"3","ae03",0.118333333333333,0.04,0.061,0.183333333333333
"4","ae04",0.0183333333333333,0.045,-0.012,0.08
"5","ae05",0.00166666666666666,-0.07,-0.271666666666667,-0.205833333333333
"6","ae06",0.0183333333333333,0,-0.266,NA
"7","ae07",0.0216666666666667,-0.0433333333333333,-0.0273333333333333,NA
"8","ae08",-0.198333333333333,-0.203333333333333,-0.305,0.0233333333333334
"9","ae09",-1.04083408558608e-17,-0.02,0.0153333333333333,NA
"10","ae10",0.0483333333333333,0.02,-0.00833333333333333,0.0375
"11","ae11",0.075,0.0283333333333333,0.0863333333333333,NA
"12","ae12",0.101666666666667,0.04,0.0506666666666667,0.0808333333333333
"13","ae13",-0.178333333333333,-0.19,-0.250333333333333,0.160833333333333
"14","ae14",-0.0283333333333334,-0.0566666666666667,NA,NA
"15","ae15",-0.206666666666667,-0.0666666666666667,-0.162666666666667,NA
"16","ae16",-0.0283333333333333,-0.0266666666666667,-0.018,NA
"17","ae17",0.0883333333333333,0.0283333333333333,-0.024,0.148333333333333
"18","ae18",0.005,-0.0216666666666667,-0.164666666666667,0.0408333333333333
"19","ae19",0.125,0.03,-0.493,-0.299166666666667
"20","ae20",0.085,NA,0.154,0.1475
"21","ae21",0.07,0.0566666666666667,0.00533333333333334,0.0908333333333333
"22","ae22",0.0366666666666667,NA,-0.0743333333333333,0.04
"23","ae23",0.00999999999999999,0.0966666666666667,0.0106666666666667,0.224166666666667
"24","ae24",0.12,0.123333333333333,NA,0.1675
"25","ae25",-0.0933333333333333,-0.13,-0.15,0.166666666666667
"26","ae26",0.02,-0.075,-0.101666666666667,0.045
"27","ae27",0.0433333333333333,NA,-0.108,-0.0166666666666667
"28","ae28",0.0133333333333333,0.075,NA,NA
"29","ae29",0.0433333333333333,-0.00500000000000001,NA,NA
"30","ae30",-0.01,-0.0416666666666667,-0.00766666666666667,0.104166666666667
"31","ae31",0.0683333333333333,0.0283333333333333,0.048,0.0783333333333333
"32","ae32",-0.00500000000000001,NA,0.24,0.00416666666666665
"33","am01",0.00333333333333332,-0.121666666666667,-0.163,NA
"34","am02",0.045,0.171666666666667,0.221666666666667,0.1825
"35","am03",-0.0733333333333333,-0.0233333333333333,-0.182333333333333,-0.0375
"36","am04",-0.0183333333333334,-0.0183333333333334,-0.137333333333333,NA
"37","am05",-0.118333333333333,NA,-0.114,-0.0525
"38","am06",0.0566666666666667,NA,NA,NA
"39","am07",-0.055,-0.02,-0.114,0.0466666666666667
"40","am08",-0.0933333333333333,NA,0.0936666666666667,NA
"41","am09",-0.208333333333333,NA,NA,-0.166666666666667
"42","am10",0.015,0.12,-0.112666666666667,-0.0166666666666666
"43","am11",0.00499999999999999,0.0133333333333333,0.186,0.145833333333333
"44","am12",0.0233333333333333,-8.3314160691933e-18,-0.098,NA
"45","am13",-0.0183333333333333,-0.03,-0.0116666666666667,NA
"46","am14",-0.0716666666666667,-0.116666666666667,NA,0.0475
"47","am15",-0.136666666666667,-0.095,-0.275,-0.130833333333333
"48","am16",-0.0983333333333334,NA,-0.100333333333333,NA
"49","am17",-0.113333333333333,-0.0466666666666667,-0.016,0.109166666666667
"50","am18",0.06,0.04,-0.024,0.0425
"51","am19",0.0166666666666667,-0.0116666666666667,NA,NA
"52","am20",0.0183333333333333,-0.115,-0.199666666666667,-0.271666666666667
"53","am21",-0.00333333333333336,-0.0866666666666667,-0.061,0.0283333333333333
"54","am22",0.0366666666666667,-0.035,-0.0646666666666667,NA
"55","am23",-0.0766666666666667,-0.105,-0.082,0.128333333333333
"56","am24",NA,NA,-0.313,NA
"57","am25",0.0716666666666667,0.0133333333333333,0.00833333333333333,0.0408333333333333
"58","am26",-0.133333333333333,-0.0283333333333333,-0.0853333333333333,-0.0491666666666667
"59","am27",0.0933333333333333,0.0666666666666667,0.09,0.0991666666666667
"60","am28",-0.00333333333333336,NA,-0.0943333333333333,-0.0275
"61","am29",0.00999999999999999,-0.00333333333333335,0.0356666666666667,0.07
"62","am30",-0.0883333333333333,-0.07,-0.0573333333333333,-0.0916666666666667
"63","am31",0.123333333333333,0.0916666666666667,0.0643333333333333,0.115833333333333
"64","am32",0.0533333333333333,0.0416666666666667,-0.0723333333333333,-0.0341666666666667
"65","ie01",0.0983333333333333,0.0766666666666667,0.0313333333333333,0.201666666666667
"66","ie02",0.055,0.126666666666667,-0.0466666666666667,-0.0175
"67","ie03",0.0266666666666667,0.108333333333333,0.124333333333333,NA
"68","ie04",-0.00833333333333333,NA,NA,-0.0258333333333333
"69","ie05",0.095,0.00333333333333331,-0.0573333333333333,NA
"70","ie06",0.00499999999999999,0.0283333333333333,0.005,0.0641666666666667
"71","ie07",-0.055,-0.035,NA,NA
"72","ie08",0.0633333333333333,0.00499999999999998,0.108666666666667,0.169166666666667
"73","ie09",0.0916666666666667,0.04,-0.00866666666666667,0.0625
"74","ie10",0.0216666666666667,0.035,-0.000999999999999991,0.149166666666667
"75","ie11",0.06,0.0166666666666667,0.04,NA
"76","ie12",0.035,NA,0.037,-0.0275
"77","ie13",-0.146666666666667,NA,NA,NA
"78","ie14",0.00666666666666666,0.0166666666666667,-0.0966666666666667,0.1025
"79","ie15",0.175,0.0783333333333333,0.077,0.156666666666667
"80","ie16",0.241666666666667,0.165,0.21,0.128333333333333
"81","ie17",0.0483333333333333,0.0316666666666667,-0.07,-0.0258333333333334
"82","ie18",0.0883333333333333,-0.005,-0.0163333333333333,NA
"83","ie19",0.0116666666666666,0.0333333333333333,0.194,0.118333333333333
"84","ie20",0.22,NA,NA,0.103333333333333
"85","ie21",0.085,0.0266666666666667,-0.0653333333333333,NA
"86","ie22",-0.00500000000000001,-0.065,-0.0203333333333333,NA
"87","ie23",0.0616666666666667,-1.11019591957084e-17,0.012,0.115833333333333
"88","ie24",-0.235,-0.238333333333333,-0.041,NA
"89","ie25",-0.0166666666666667,NA,-0.081,NA
"90","ie26",-0.0116666666666667,0.035,0.149,0.153333333333333
"91","ie27",-0.336666666666667,-0.325,-0.220666666666667,-0.205
"92","ie28",0.153333333333333,0.045,NA,0.263333333333333
"93","ie29",-0.38,-0.25,NA,-0.229166666666667
"94","ie30",0.00666666666666666,-0.0116666666666667,-0.00166666666666666,-0.00583333333333334
"95","ie31",0.02,NA,NA,NA
"96","ie32",0.0616666666666667,NA,0.145333333333333,NA
"97","ie33",0.0166666666666667,0.00499999999999998,-0.225,-0.1575
"98","im01",-0.383333333333333,NA,-0.352666666666667,-0.466666666666667
"99","im02",-0.18,-0.1633333332,-0.3560000001,-0.2899999999
"100","im03",-0.215,-0.07,-0.228333333333333,-0.153333333333333
"101","im04",-0.00166666666666668,0.0166666666666667,0.015,NA
"102","im05",-0.401666666666667,-0.296666666666667,-0.307333333333333,-0.254166666666667
"103","im06",0.0433333333333333,NA,0.029,0.175833333333333
"104","im07",-0.411666666666667,-0.406666666666667,-0.476333333333333,-0.256666666666667
"105","im08",-0.431666666666667,-0.361666666666667,-0.304333333333333,-0.339166666666667
"106","im09",0.0433333333333333,NA,0.064,0.1375
"107","im10",0.296666666666667,0.258333333333333,0.212666666666667,0.165
"108","im11",-0.0616666666666667,-0.00666666666666667,-0.254333333333333,-0.0533333333333333
"109","im12",0.185,0.101666666666667,0.138333333333333,0.3075
"110","im13",0.101666666666667,NA,-0.0746666666666667,-0.0933333333333333
"111","im14",-0.306666666666667,-0.19,-0.182333333333333,0.0108333333333334
"112","im15",0.0333333333333333,-0.00666666666666668,-0.114,NA
"113","im16",0.0883333333333333,0.0683333333333333,0.0886666666666667,NA
"114","im17",-0.05,-0.103333333333333,0.00233333333333332,0.148333333333333
"115","im18",-0.0783333333333333,-0.0616666666666667,-0.115333333333333,-0.145
"116","im19",0.00833333333333333,-0.045,-0.0723333333333333,0.0641666666666667
"117","im20",0.215,0.24,0.256666666666667,0.158333333333333
"118","im21",0.05,0.06,0.014,0.123333333333333
"119","im22",0.025,0.0516666666666667,0.0363333333333333,0.0416666666666667
"120","im23",-0.0783333333333333,NA,0.182,NA
"121","im24",-0.296666666666667,-0.281666666666667,-0.272333333333333,-0.238333333333333
"122","im25",-0.0633333333333333,-0.0633333333333334,-0.022,-0.0275
"123","im26",-0.135,-0.0183333333333333,-0.0786666666666666,-0.195833333333333
"124","im27",-0.08,NA,0.0366666666666667,NA
"125","im28",0.0633333333333333,0.0833333333333333,0.0116666666666667,0.0333333333333333
"126","im29",0.045,0.015,0.0306666666666667,0.0791666666666667
"127","im30",-0.015,0.118333333333333,0.0896666666666667,NA
"128","im31",0.176666666666667,NA,0.191666666666667,0.0633333333333334
"129","im32",-0.0566666666666667,0.0666666666666667,0.0916666666666667,NA
"130","mo01",0.195,0.171666666666667,0.142,0.190833333333333
"131","mo02",-0.00166666666666667,0.00333333333333332,NA,NA
"132","mo03",-0.171666666666667,-0.025,0.0473333333333333,-0.0258333333333334
"133","mo04",-0.218333333333333,-0.06,-0.109333333333333,NA
"134","mo05",-0.403333333333333,-0.406666666666667,-0.424,-0.423333333333333
"135","mo06",-0.325,-0.323333333333333,NA,-0.391666666666667
"136","mo07",0.0216666666666667,-0.05,-0.0143333333333333,0.1125
"137","mo08",-0.473333333333333,-0.391666666666667,-0.473,-0.296666666666667
"138","mo09",-0.146666666666667,-0.0683333333333333,-0.0866666666666667,-0.0941666666666667
"139","mo10",-0.518333333333333,-0.381666666666667,-0.525,-0.169166666666667
"140","mo11",0.08,NA,0.202666666666667,0.244166666666667
"141","mo13",-0.476666666666667,NA,-0.479666666666667,-0.515
"142","mo14",-0.00333333333333334,-0.0416666666666667,-0.136333333333333,-0.0616666666666667
"143","mo15",-0.205,-0.153333333333333,-0.0833333333333333,-0.04
"144","mo16",0.085,0.0216666666666667,0.0426666666666667,NA
"145","mo17",NA,-0.155,-0.295,NA
"146","mo18",0.0733333333333333,0.0983333333333333,0.0466666666666667,0.0241666666666667
"147","mo19",-0.343333333333333,-0.333333333333333,-0.251333333333333,-0.325833333333333
"148","mo20",-0.395,-0.241666666666667,-0.290333333333333,-0.289166666666667
"149","mo21",-0.445,NA,-0.427,-0.4
"150","mo22",-0.145,-0.0533333333333333,0.0506666666666667,NA
"151","mo23",-0.458333333333333,-0.463333333333333,-0.334,-0.446666666666667
"152","mo24",-0.505,-0.481666666666667,-0.317666666666667,-0.506666666666667
"153","mo25",0.105,0.00333333333333332,-0.0556666666666667,0.015
"154","mo26",-0.135,6.59127158235406e-18,NA,0.1225
"155","mo27",-0.468333333333333,-0.446666666666667,-0.46,-0.463333333333333
"156","mo28",-0.06,NA,-0.094,NA
"157","mo29",0.035,NA,-0.046,0.124166666666667
"158","mo30",-0.03,-0.05,-0.073,NA
